Date,Price,Open,High,Low,Vol.,Change %
02/17/2015,"26,241","26,722","26,722","26,215",11.24K,-1.87%
02/18/2015,"26,181","26,280","26,390","26,128",15.57K,-0.23%
02/19/2015,"26,294","26,260","26,521","26,199",16.56K,0.43%
02/20/2015,"26,317","26,337","26,435","26,186",15.08K,0.09%
02/21/2015,"26,319","26,319","26,319","26,319",,0.01%
02/23/2015,"26,178","26,281","26,310","26,001",18.60K,-0.54%
02/24/2015,"26,077","26,219","26,277","26,015",14.35K,-0.39%
02/25/2015,"26,142","26,138","26,343","26,120",14.25K,0.25%
02/26/2015,"26,239","26,200","26,370","26,200",14.62K,0.37%
02/27/2015,"26,206","26,243","26,320","26,132",13.56K,-0.13%
02/28/2015,"26,480","26,111","26,518","26,043",8.15K,1.05%
03/02/2015,"26,541","26,508","26,997","26,440",5.08K,0.23%
03/03/2015,"26,453","26,527","26,601","26,400",1.05K,-0.33%
03/04/2015,"26,539","26,500","26,600","26,401",3.30K,0.33%
03/05/2015,"26,473","26,510","26,599","26,418",0.22K,-0.25%
03/06/2015,"26,058","26,485","26,530","26,025",15.68K,-1.57%
03/09/2015,"26,062","26,096","26,177","26,041",12.55K,0.02%
03/10/2015,"25,960","26,050","26,100","25,825",21.18K,-0.39%
03/11/2015,"25,716","25,979","25,996","25,691",17.90K,-0.94%
03/12/2015,"25,690","25,750","25,890","25,609",21.26K,-0.10%
03/13/2015,"25,909","25,750","25,945","25,750",19.76K,0.85%
03/14/2015,"25,922","25,922","25,922","25,922",,0.05%
03/16/2015,"25,797","25,945","25,967","25,735",14.55K,-0.48%
03/17/2015,"25,635","25,741","25,830","25,551",20.54K,-0.63%
03/18/2015,"25,653","25,665","25,700","25,520",16.40K,0.07%
03/19/2015,"25,970","25,712","25,992","25,712",21.33K,1.24%
03/20/2015,"26,195","25,996","26,249","25,915",18.36K,0.87%
03/23/2015,"26,208","26,195","26,226","26,089",11.46K,0.05%
03/24/2015,"26,350","26,180","26,389","26,140",14.19K,0.54%
03/25/2015,"26,491","26,313","26,519","26,219",14.89K,0.54%
03/26/2015,"26,805","26,519","26,991","26,519",16.89K,1.19%
03/27/2015,"26,564","26,774","26,774","26,381",15.74K,-0.90%
03/30/2015,"26,239","26,468","26,468","26,200",10.61K,-1.22%
03/31/2015,"26,061","26,200","26,310","26,020",5.28K,-0.68%
04/01/2015,"26,510","26,122","26,800","26,060",1.60K,1.72%
04/02/2015,"26,548","26,601","26,697","26,460",7.80K,0.14%
04/06/2015,"26,941","26,625","27,038","26,625",13.58K,1.48%
04/07/2015,"26,829","26,925","26,928","26,801",8.93K,-0.42%
04/08/2015,"26,682","26,842","26,873","26,615",11.85K,-0.55%
04/09/2015,"26,452","26,612","26,612","26,410",12.46K,-0.86%
04/10/2015,"26,703","26,482","26,750","26,452",13.55K,0.95%
04/13/2015,"26,616","26,703","26,730","26,550",10.39K,-0.33%
04/14/2015,"26,454","26,569","26,569","26,300",8.70K,-0.61%
